8月19日：小鸡宝宝考考你，汉字“廿”表示？ 答案： 二十 
8月20日：小鸡宝宝考考你，传统乐器二胡有几根弦？ 答案： 二 
8月21日：小鸡宝宝考考你，中国陆地面积最大的省区是哪一个？ 答案： 新疆 ​
8月22日：小鸡宝宝考考你，云南省的简称是？ 答案： 滇 ​
8月23日：小鸡宝宝考考你，八九十岁被称为什么之年？ 答案： 耄耋 ​
8月24日：小鸡宝宝考考你，唐诗《蜀道难》的作者是谁？ 答案： 李白 ​
8月25日：小鸡宝宝考考你，三角形内角和为多少度？ 答案： 180度 ​
8月26日：小鸡宝宝考考你，“三过家门而不入”的历史典故是谁的故事？ 答案： 180禹 ​
8月27日：小鸡宝宝考考你，孔子称作“至圣”，称作“亚圣”的是谁？ 答案： 孟子 ​
8月28日：小鸡宝宝考考你，中国的五岳名山中，西岳指的哪个山？ 答案： 华山 ​
8月29日：小鸡宝宝考考你，平遥古城位于哪个省？ 答案： 山西省 ​
8月30日：小鸡宝宝考考你，成语夜郎自大中的夜郎指的是？  答案： 地名 ​
************************************************************************************************************************
8月31日：小鸡宝宝考考你，龙门石窟位于以下哪个省？ 答案： 河南 ​
9月10日：小鸡宝宝考考你，今天是中国的什么节日呢？  答案： 教师节 ​
9月11日：小鸡宝宝考考你，1公里等于1千米吗？ 答案： 等于 ​
9月12日：小鸡宝宝考考你，明天9月13日农历八月十五是什么节日？  答案： 中秋节 ​
9月13日：小鸡宝宝考考你，张家界风景区位于中国哪个省？  答案： 湖南省 ​
9月14日：小鸡宝宝考考你，有沙漠之舟称号的动物是？  答案： 骆驼 ​
9月15日：小鸡宝宝考考你，世界上最长的人工运河是？  答案： 京杭大运河 ​
9月1日：你知道2019年支付宝95公益周的主题是什么吗？ 答案： 相信小的伟大 ​
9月2日：爱心捐赠平台上一亿颗梭梭树项目是什么时间发起的呢？ 答案： 2014年 ​
9月3日：蚂蚁庄园捐出爱心成功后点播放图标可以听到受助人的心声吗  答案： 可以 ​
9月4日：小鸡宝宝今天走了1500步，可以在运动里进行捐赠吗？  答案： 可以 ​
9月5日：小鸡宝宝参与下面哪个公益项目可以为孩子提供免费午餐呢  答案： 免费午餐 ​
9月6日：帮宝贝战胜先心病项目的善款是如何用到小朋友身上？  答案： 定点医院合作结算 ​
9月7日：你知道守护星星的孩子项目中星星的孩子指的是哪些群体吗？  答案： 自闭症儿童 ​
9月8日：小鸡宝宝考考你，中国最长的河流是？  答案： 长江 ​
9月9日：小鸡宝宝考考你，日晷是测量质量的工具吗？  答案： 不是 ​
************************************************************************************************************************
9月16日：小鸡宝宝考考你，世界文化遗产莫高窟坐落于中国哪个城市？  答案： 敦煌 ​
9月17日：小鸡宝宝考考你，世界自然遗产九寨沟位于中国哪个省？  答案： 四川 ​
9月18日：小鸡宝宝考考你，湖南省的省会是哪里？  答案： 长沙 ​
9月19日：小鸡宝宝考考你，湖南湖北的湖指的是？  答案： 洞庭湖 ​
9月20日：小鸡宝宝考考你，UNESCO是什么国际组织的简称？  答案： 联合国科教文组织 ​
9月21日：小鸡宝宝考考你，青海省的省会在哪里？  答案： 西宁 ​
9月22日：小鸡宝宝考考你，七步成诗说的是哪位历史人物？  答案： 曹植 ​
9月23日：小鸡宝宝考考你，1分米等于多少厘米？  答案： 10 ​
9月24日：小鸡宝宝考考你，五岳之一的嵩山位于哪个省？  答案： 河南 ​
9月25日：小鸡宝宝考考你，第一位获得诺贝尔文学奖的亚洲人泰戈尔是哪个国家的诗人？  答案： 印度 ​
9月26日：小鸡宝宝考考你，洁癖中的癖字是第几声？  答案： 第三 ​
9月27日：小鸡宝宝考考你，海上生明月的下一句诗是什？  答案： 天涯共此时 ​
9月28日：小鸡宝宝考考你，卯代表十二生肖中的哪种动物？  答案： 兔 ​
9月29日：小鸡宝宝考考你，中国最宽的瀑布是位于四川省九寨沟的哪个瀑布？  答案： 诺日朗瀑布 ​
9月30日：小鸡宝宝考考你，著名文化遗址三星堆位于中国哪个省？  答案： 四川 ​
************************************************************************************************************************
10月10日：小鸡宝宝考考你，中国画里的乡村宏村位于哪个省？  答案： 安徽省 ​
10月11日：小鸡宝宝考考你,黄河注入了什么海？  答案： 渤海 ​
10月12日：小鸡宝宝考考你，冀是哪个省的简称？  答案： 河北省 ​
10月13日：小鸡宝宝考考你一吨等于多少千克？  答案： 1000千克 ​
10月14日：小鸡宝宝考考你，被称为奇险天下第一山的华山位于中国哪个省？  答案： 陕西省 ​
10月15日：小鸡宝宝考考你，庐山位于中国的哪个省？  答案： 江西省 ​
10月1日：小鸡宝宝考考你，江西省的简称是？  答案： 赣 ​
10月2日：小鸡宝宝考考你罕见病医疗援助工程是帮助什么群体的项目呢？  答案： 罕见病人士 ​
10月3日：你知道有爱无疾肿瘤救助项目每个患者累计被捐赠的上限是多少钱吗？  答案： 2万元 ​
10月4日：爱心捐赠平台中哪个项目是帮助听障儿童的呢？  答案： 爱的分贝救救耳朵 ​
10月5日：小鸡宝宝考考你，童话《丑小鸭》中，丑小鸭最后变成了哪种鸟类？  答案： 天鹅 ​
10月6日：爱心捐赠平台中一元早餐项目帮助的是孤老院老人吗？  答案： 是 ​
10月7日：小鸡宝宝考考你，世界上国家领土面积中排名第三的国家是？  答案： 中国 ​
10月8日：小鸡宝宝考考你，四大名楼之一的黄鹤楼位于中国哪个省？  答案： 湖北省 ​
10月9日：小鸡宝宝考考你，指南针标记N指向的方向为？  答案： 北 ​
************************************************************************************************************************
10月16日：小鸡宝宝考考你，湘西明珠凤凰古城位于哪个省？  答案： 湖南省 ​
10月17日：小鸡宝宝考考你，内蒙古自治区的省会在哪里？  答案： 呼和浩特 ​
10月18日：小鸡宝宝考考你，古称金陵的是现在的那一座城市？  答案： 南京 ​
10月19日：小鸡宝宝考考你，黑龙江的省会在哪里？  答案： 哈尔滨 ​
10月20日：小鸡宝宝考考你，福建的简称是什么？  答案： 闽 ​
10月21日：小鸡宝宝考考你,位于唐长安城大慈恩寺内的大雁塔是哪个城市的著名景点?  答案： 西安 ​
10月22日：小鸡宝宝考考你,章鱼的血液是什么颜色的?  答案： 蓝色 ​
10月23日：小鸡宝宝考考你,鼓浪屿位于中国哪座城市?  答案： 厦门市 ​
10月24日：小鸡宝宝考考你，以红叶著名的香山位于哪座城市？  答案： 北京 ​
10月25日：小鸡宝宝考考你，虎丘塔平江路是江苏哪座城市的著名景点？  答案： 苏州 ​
10月26日：小鸡宝宝考考你，有人触电被电晕了，我们该怎么办？  答案： 马上切断电源 ​
10月27日：小鸡宝宝考考你,为什么有些市面上的无糖饮料喝起来还是甜的?  答案： 有人工甜味剂 ​
10月28日：小鸡宝宝考考你,哪种大猫是世界上体重最大的肉食性猫科动物？  答案： 东北虎 ​
10月29日：小鸡宝宝考考你，网上购买东西时为保证资金安全应该注意？  答案： 在正规官网上购买 ​
10月30日：小鸡宝宝考考你，失恋时在宿舍烧毁信件，可能会发生什么？  答案： 火势蔓延引发火灾 ​
************************************************************************************************************************
10月31日：小鸡宝宝考考你，为了降低甲醛对人体的危害，刚买的免烫衣物应该怎么处理？  答案： 在清水中充分漂洗 ​
11月10日：小鸡宝宝考考你，印制人民币用的钞票纸的主要原料是什么？  答案： 棉 ​
11月11日：小鸡宝宝考考你，遇到有人爬山时不慎摔伤腰部，平躺于地不能起立，我们应该?  答案： 保持不动叫救护车 ​
11月12日：小鸡宝宝考考你,不小心碰到点燃的烟头会被烫伤,烟头中心温度可达多少度?  答案： 700-800度 ​
11月13日：小鸡宝宝考考你，湿地又被称为什么？  答案： 地球之肾 ​
11月14日：小鸡宝宝考考你,住酒店发现摄像头,酒店前台对此置之不理,你可以怎么做?  答案： 举报或提起诉讼 ​
11月15日：小鸡宝宝考考你，为了安全起见，进入KTV时我们应该留意？  答案： 安全出口 ​
11月1日：小鸡宝宝考考你，开水储存不宜超过几天？  答案： 3天 ​
11月2日：小鸡宝宝考考你，下列选项中属于温室气体的是？  答案： 二氧化碳 ​
11月3日：小鸡宝宝考考你，一生不用买房的海洋生物是？  答案： 寄居蟹 ​
11月4日：小鸡宝宝考考你，以下哪类主食适合减脂？  答案： 燕麦 ​
11月5日：小鸡宝宝考考你，网购的快递拆开包装后，包装上的快递单应如何处理？  答案： 撕掉或抹掉信息 ​
11月6日：小鸡宝宝考考你，当发现电器着火，应该怎么做？  答案： 立即切断电源 ​
11月7日：小鸡宝宝考考你，秃鹫的头为什么是秃的？  答案： 方便进食的演化 ​
11月8日：小鸡宝宝考考你，新手妈妈在给儿童选购衣物时，出于安全考虑应避免买哪种衣服？  答案： 带绳子的连帽衫 ​
11月9日：小鸡宝宝考考你，以下哪一类物品容易引发火灾？  答案： 指甲油 ​
************************************************************************************************************************
11月16日：小鸡宝宝考考你，夏季跑步时，腿部出现抽筋是什么流失过多导致的？  答案： 水分和盐分 ​
11月17日：小鸡宝宝考考你，豪猪和以下哪种动物是近亲？  答案： 老鼠 ​
11月18日：小鸡宝宝考考你游泳时引起抽筋的主要原因是？  答案： 用力过猛 ​
11月19日：小鸡宝宝考考你，企鹅的翅膀是用来干什么的？  答案： 游泳 ​
11月20日：小鸡宝宝考考你，庄园里一共捐了150多亿个爱心鸡蛋，150亿的阿拉伯数字有几个0？  答案： 9个 ​
11月21日：小鸡宝宝考考你，万一身上着了火，可以怎么做？  答案： 就地打滚 ​
11月22日：小鸡宝宝考考你，运动中轻度擦伤，消毒可以用什么？  答案： 碘酒 ​
11月23日：小鸡宝宝考考你，以下哪种动物被列为濒危动物？  答案： 海龟 ​
